name,ingredients,dosage,usage,safe_for_pregnant,safe_for_children,explanation,barcode
"Tylenol (Acetaminophen)","acetaminophen","500mg","Take 1-2 tablets every 4-6 hours as needed for pain or fever","true","true","Acetaminophen is a pain reliever and fever reducer. It works by blocking certain natural substances in your body that cause pain and fever.","1234567890123"
"Aspirin","acetylsalicylic acid,starch","325mg","Take 1-2 tablets every 4-6 hours with food","false","false","Aspirin is a nonsteroidal anti-inflammatory drug (NSAID) that reduces pain, fever, and inflammation. Not recommended for children under 12 due to risk of Reye's syndrome.","2345678901234"
"Ibuprofen (Advil)","ibuprofen","200mg","Take 1-2 tablets every 4-6 hours with food","false","true","Ibuprofen is an NSAID that reduces pain, fever, and inflammation. Safe for children over 6 months when used as directed.","3456789012345"
"Benadryl (Diphenhydramine)","diphenhydramine hydrochloride","25mg","Take 1-2 tablets every 4-6 hours for allergy symptoms","false","false","Diphenhydramine is an antihistamine that relieves allergy symptoms like sneezing, runny nose, and itchy eyes. May cause drowsiness.","4567890123456"
"Zyrtec (Cetirizine)","cetirizine hydrochloride","10mg","Take 1 tablet daily for allergy relief","true","true","Cetirizine is a non-drowsy antihistamine that provides 24-hour relief from allergy symptoms. Safe for children over 2 years.","5678901234567"
"Claritin (Loratadine)","loratadine","10mg","Take 1 tablet daily for allergy relief","true","true","Loratadine is a non-drowsy antihistamine that provides 24-hour relief from seasonal and year-round allergies.","6789012345678"
"Pepto-Bismol","bismuth subsalicylate","262mg","Take 2 tablets every 30-60 minutes as needed","false","false","Bismuth subsalicylate relieves upset stomach, diarrhea, and heartburn. Contains salicylate, similar to aspirin.","7890123456789"
"Tums (Calcium Carbonate)","calcium carbonate","500mg","Take 2-4 tablets as needed for heartburn","true","true","Calcium carbonate neutralizes stomach acid to relieve heartburn and acid indigestion. Also provides calcium supplement.","8901234567890"
"Robitussin DM","dextromethorphan,guaifenesin","15mg/100mg","Take 2 teaspoons every 4 hours","false","false","Combination cough suppressant and expectorant. Dextromethorphan suppresses cough while guaifenesin thins mucus.","9012345678901"
"Sudafed (Pseudoephedrine)","pseudoephedrine hydrochloride","30mg","Take 1 tablet every 4-6 hours","false","false","Pseudoephedrine is a decongestant that shrinks blood vessels in the nasal passages to relieve congestion.","0123456789012" 